worker,time,row,term,objective,answer
1,5,0,erotic,0,Surprise
2,3,0,erotic,0,Joy
3,33,0,erotic,0,Sadness
4,7,0,erotic,0,Anticipation
5,8,0,erotic,0,Joy
6,17,0,erotic,0,Anger
7,5,0,erotic,0,Joy
8,7,0,erotic,0,Joy
9,12,0,erotic,0,Anticipation
10,17,0,erotic,0,Disgust
4,4,1,insolvency,0,Sadness
11,16,1,insolvency,0,Fear
12,16,1,insolvency,0,Sadness
10,17,1,insolvency,0,Anger
3,13,1,insolvency,0,Fear
1,5,1,insolvency,0,Sadness
13,19,1,insolvency,0,Disgust
6,9,1,insolvency,0,Fear
14,8,1,insolvency,0,Sadness
15,5,1,insolvency,0,Sadness
6,29,2,insolvent,0,Fear
16,4,2,insolvent,0,Sadness
8,10,2,insolvent,0,Disgust
10,20,2,insolvent,0,Anticipation
4,4,2,insolvent,0,Sadness
1,5,2,insolvent,0,Sadness
11,7,2,insolvent,0,Sadness
17,7,2,insolvent,0,Fear
13,22,2,insolvent,0,Sadness
15,9,2,insolvent,0,Sadness
1,6,3,inhumanity,0,Sadness
10,18,3,inhumanity,0,Disgust
11,14,3,inhumanity,0,Disgust
13,20,3,inhumanity,0,Fear
16,3,3,inhumanity,0,Fear
14,9,3,inhumanity,0,Anger
3,14,3,inhumanity,0,Sadness
4,10,3,inhumanity,0,Disgust
6,10,3,inhumanity,0,Disgust
15,8,3,inhumanity,0,Anger
6,51,4,inhuman,0,Disgust
1,5,4,inhuman,0,Disgust
17,5,4,inhuman,0,Disgust
3,12,4,inhuman,0,Sadness
9,25,4,inhuman,0,Anticipation
11,7,4,inhuman,0,Disgust
14,22,4,inhuman,0,Fear
16,11,4,inhuman,0,Fear
10,95,4,inhuman,0,Anger
4,6,4,inhuman,0,Disgust
10,17,5,reprisal,0,Fear
15,15,5,reprisal,0,Fear
11,16,5,reprisal,0,Anger
1,6,5,reprisal,0,Anger
16,7,5,reprisal,0,Fear
7,6,5,reprisal,0,Surprise
8,34,5,reprisal,0,Fear
6,22,5,reprisal,0,Anger
18,20,5,reprisal,0,Anticipation
4,4,5,reprisal,0,Anger
10,22,6,morbidity,0,Sadness
16,6,6,morbidity,0,Sadness
5,9,6,morbidity,0,Disgust
1,6,6,morbidity,0,Sadness
8,13,6,morbidity,0,Sadness
14,14,6,morbidity,0,Fear
4,5,6,morbidity,0,Disgust
6,17,6,morbidity,0,Sadness
3,13,6,morbidity,0,Sadness
11,16,6,morbidity,0,Sadness
10,19,7,morbid,0,Sadness
6,37,7,morbid,0,Sadness
14,13,7,morbid,0,Sadness
16,4,7,morbid,0,Sadness
4,9,7,morbid,0,Disgust
7,7,7,morbid,0,Anger
1,6,7,morbid,0,Fear
13,25,7,morbid,0,Sadness
9,78,7,morbid,0,Disgust
8,15,7,morbid,0,Disgust
13,44,8,unaccountable,0,Sadness
19,4,8,unaccountable,0,Disgust
10,19,8,unaccountable,0,Anticipation
1,8,8,unaccountable,0,Anticipation
8,44,8,unaccountable,0,Surprise
3,26,8,unaccountable,0,Joy
11,9,8,unaccountable,0,Disgust
6,30,8,unaccountable,0,Disgust
4,6,8,unaccountable,0,Surprise
14,22,8,unaccountable,0,Surprise
6,16,9,elevation,0,Trust
7,8,9,elevation,0,Surprise
13,22,9,elevation,0,Fear
14,17,9,elevation,0,Anticipation
4,4,9,elevation,0,Anticipation
2,5,9,elevation,0,Joy
16,4,9,elevation,0,Joy
1,5,9,elevation,0,Anticipation
11,11,9,elevation,0,Trust
10,22,9,elevation,0,Trust
5,10,10,inconvenient,0,Sadness
6,11,10,inconvenient,0,Disgust
13,89,10,inconvenient,0,Trust
19,3,10,inconvenient,0,Disgust
1,5,10,inconvenient,0,Sadness
2,5,10,inconvenient,0,Disgust
7,6,10,inconvenient,0,Disgust
11,9,10,inconvenient,0,Sadness
10,18,10,inconvenient,0,Disgust
4,13,10,inconvenient,0,Disgust
6,96,11,lynch,0,Fear
4,5,11,lynch,0,Anger
10,16,11,lynch,0,Anticipation
20,13,11,lynch,0,Fear
8,31,11,lynch,0,Fear
1,4,11,lynch,0,Anger
7,5,11,lynch,0,Anger
13,44,11,lynch,0,Trust
12,10,11,lynch,0,Fear
16,4,11,lynch,0,Fear
6,26,12,disservice,0,Disgust
11,9,12,disservice,0,Fear
10,19,12,disservice,0,Fear
7,8,12,disservice,0,Anger
12,11,12,disservice,0,Disgust
3,16,12,disservice,0,Trust
4,6,12,disservice,0,Anger
16,5,12,disservice,0,Sadness
17,5,12,disservice,0,Anger
1,7,12,disservice,0,Surprise
14,13,13,pitfall,0,Fear
8,24,13,pitfall,0,Fear
18,19,13,pitfall,0,Sadness
13,17,13,pitfall,0,Fear
3,34,13,pitfall,0,Sadness
1,6,13,pitfall,0,Sadness
17,5,13,pitfall,0,Surprise
10,20,13,pitfall,0,Fear
4,5,13,pitfall,0,Fear
11,8,13,pitfall,0,Fear
21,4,200,fury,0,Anger
4,4,200,fury,0,Anger
7,9,200,fury,0,Surprise
1,4,200,fury,0,Anger
14,32,200,fury,0,Fear
16,5,200,fury,0,Anger
8,7,200,fury,0,Anger
17,5,200,fury,0,Anger
5,7,200,fury,0,Anger
10,20,200,fury,0,Sadness
6,16,14,worship,0,Trust
17,5,14,worship,0,Joy
10,23,14,worship,0,Trust
1,4,14,worship,0,Trust
4,4,14,worship,0,Joy
11,6,14,worship,0,Trust
14,6,14,worship,0,Trust
16,5,14,worship,0,Joy
5,10,14,worship,0,Joy
3,22,14,worship,0,Fear
8,28,201,vermin,0,Disgust
3,25,201,vermin,0,Disgust
11,37,201,vermin,0,Disgust
22,18,201,vermin,0,Disgust
6,17,201,vermin,0,Disgust
2,5,201,vermin,0,Disgust
10,20,201,vermin,0,Disgust
1,4,201,vermin,0,Disgust
13,22,201,vermin,0,Disgust
4,5,201,vermin,0,Disgust
16,7,15,obstacle,0,Fear
13,22,15,obstacle,0,Sadness
14,8,15,obstacle,0,Sadness
8,9,15,obstacle,0,Disgust
4,4,15,obstacle,0,Fear
3,17,15,obstacle,0,Sadness
1,11,15,obstacle,0,Surprise
11,9,15,obstacle,0,Fear
12,21,15,obstacle,0,Fear
10,45,15,obstacle,0,Disgust
2,5,202,frowning,0,Sadness
9,18,202,frowning,0,Anticipation
11,8,202,frowning,0,Anger
6,36,202,frowning,0,Anger
10,19,202,frowning,0,Disgust
8,7,202,frowning,0,Disgust
4,4,202,frowning,0,Sadness
16,5,202,frowning,0,Anger
1,5,202,frowning,0,Sadness
5,13,202,frowning,0,Sadness
14,26,16,immerse,0,Fear
12,10,16,immerse,0,Trust
1,10,16,immerse,0,Trust
8,17,16,immerse,0,Joy
7,8,16,immerse,0,Surprise
10,17,16,immerse,0,Fear
4,4,16,immerse,0,Anticipation
6,9,16,immerse,0,Disgust
3,11,16,immerse,0,Joy
16,6,16,immerse,0,Trust
14,19,203,frown,0,Disgust
11,7,203,frown,0,Anger
8,32,203,frown,0,Disgust
1,5,203,frown,0,Sadness
2,5,203,frown,0,Sadness
7,6,203,frown,0,Sadness
17,5,203,frown,0,Sadness
